0.040	-0.009	0.060	0.041	0.003	0.000	-0.028	-0.041	-0.063	-0.070	
0.005	-0.003	-0.007	0.017	-0.004	-0.013	0.016	-0.012	0.010	-0.017	
-0.001	0.036	-0.061	-0.035	0.006	-0.038	-0.048	-0.010	0.124	0.076	
-0.021	-0.002	-0.032	-0.007	0.006	-0.011	0.057	-0.008	0.023	0.008	
0.005	-0.017	0.042	0.006	-0.005	0.040	0.005	0.016	-0.073	-0.039	
-0.013	0.002	-0.033	-0.037	0.007	-0.004	0.032	0.015	0.013	0.046	
-0.003	0.007	-0.022	-0.018	0.010	-0.018	-0.007	0.000	0.039	0.029	
0.005	0.027	-0.026	-0.016	-0.005	-0.018	-0.022	0.011	0.030	0.027	
-0.012	-0.020	0.048	0.020	-0.026	0.034	0.025	0.040	-0.088	-0.038	
-0.011	-0.021	0.017	0.016	0.016	0.023	-0.010	-0.013	-0.007	-0.009	
