-0.225	-0.079	0.066	0.089	0.104	-0.037	0.053	0.043	0.107	-0.139	
-0.266	0.209	0.325	0.217	0.115	0.057	-0.013	-0.373	0.120	-0.337	
-0.106	0.178	0.199	0.128	0.037	0.047	-0.034	-0.268	0.045	-0.179	
0.063	0.050	-0.011	-0.006	-0.037	0.028	-0.032	-0.050	-0.036	0.039	
0.042	-0.047	-0.061	-0.049	-0.008	-0.021	0.012	0.086	-0.017	0.055	
0.102	-0.052	-0.094	-0.075	-0.040	-0.012	-0.003	0.090	-0.038	0.110	
0.395	-0.244	-0.418	-0.303	-0.170	-0.053	0.004	0.457	-0.182	0.450	
-0.071	-0.184	-0.107	-0.042	0.047	-0.078	0.081	0.254	0.047	0.016	
0.081	0.112	0.037	-0.004	-0.046	0.046	-0.039	-0.143	-0.039	0.020	
0.022	0.101	0.085	0.044	-0.018	0.039	-0.047	-0.152	-0.023	-0.028	
