0.226	-0.071	-0.369	0.288	-0.375	0.049	0.203	0.155	-0.173	-0.211	
0.049	-0.035	-0.026	-0.033	-0.055	0.052	-0.040	0.045	0.067	-0.039	
0.780	-0.462	-1.086	0.840	-0.876	0.023	0.170	0.985	-0.350	-0.852	
-0.311	0.249	0.504	-0.465	0.542	-0.059	-0.078	-0.521	0.174	0.421	
-0.228	0.057	0.321	-0.135	0.125	0.075	0.013	-0.253	0.109	0.096	
0.112	-0.130	-0.190	0.167	-0.128	-0.053	-0.003	0.185	-0.038	-0.051	
-0.699	0.504	0.850	-0.666	0.751	-0.023	-0.091	-0.905	0.271	0.750	
0.603	-0.386	-0.755	0.577	-0.713	0.010	0.090	0.872	-0.226	-0.685	
-0.092	0.004	0.088	-0.145	0.210	-0.031	-0.080	0.024	0.027	0.149	
-0.671	0.494	0.986	-0.708	0.883	-0.044	-0.217	-0.944	0.258	0.786	
