0.174	-0.159	-0.055	-0.023	-0.081	0.200	-0.136	0.079	0.106	-0.032	
-0.049	0.063	0.016	0.017	0.135	-0.095	0.076	-0.032	0.030	-0.126	
-0.058	0.086	0.045	0.006	0.287	-0.086	-0.088	-0.167	0.046	-0.051	
0.017	-0.104	-0.078	0.067	0.194	0.090	-0.165	-0.077	0.083	0.022	
-0.013	-0.165	0.015	0.095	-0.236	-0.005	-0.029	0.144	0.051	0.104	
-0.018	0.014	-0.061	-0.088	0.049	0.030	0.030	-0.004	0.032	0.053	
-0.131	0.071	0.004	-0.022	0.255	0.031	-0.097	-0.117	-0.044	0.064	
0.108	-0.035	0.031	0.041	-0.418	0.073	0.107	0.124	-0.044	0.038	
0.072	0.040	0.051	-0.094	-0.191	-0.028	0.179	0.072	-0.122	0.021	
-0.068	0.141	-0.014	0.004	0.038	-0.131	0.099	0.034	-0.084	-0.026	
