-0.029	0.010	0.085	0.069	0.027	0.015	-0.214	-0.065	0.126	0.024	
0.199	-0.074	0.013	0.121	0.075	-0.058	-0.243	-0.197	0.061	0.101	
-0.154	0.159	-0.114	-0.167	-0.106	0.028	0.546	0.272	-0.230	-0.270	
-0.107	0.121	0.055	-0.110	-0.034	0.059	0.125	0.034	-0.027	-0.081	
0.319	-0.182	0.047	0.149	0.118	-0.079	-0.644	-0.298	0.272	0.316	
-0.219	0.006	-0.024	-0.113	-0.092	0.072	0.446	0.230	-0.126	-0.167	
-0.039	-0.027	-0.059	0.043	0.026	0.028	-0.024	0.028	0.014	0.014	
-0.165	0.155	-0.028	-0.184	-0.155	0.059	0.522	0.274	-0.268	-0.210	
0.422	-0.201	0.083	0.225	0.117	-0.139	-0.915	-0.443	0.408	0.481	
-0.065	-0.050	-0.002	0.086	0.099	-0.027	0.039	-0.009	-0.053	-0.017	
